,district,return_item,total_returns,0-30,30-75,75-150,150-500,500-inf,state,state_fips
53,1,Gen. Bus. Cred. Ret.,573,10,79,134,234,105,AL,01
54,1,Gen. Bus. Cred. Amt.,5778005,3420,161502,471983,1503281,3634386,AL,01
55,1,Total Stat. Credit Ret.,87484,24454,36205,21015,4986,807,AL,01
56,1,Total Stat. Credit Amt.,105695500,10684695,44220116,33305334,10027348,7436357,AL,01
57,1,S.E. Tax  Ret.,39691,22223,7799,5599,2971,600,AL,01
58,1,S.E. Tax  Amt.,95118649,30710071,18098398,18401285,20007501,6704961,AL,01
59,1,Add. Tax Retir. Plan,9907,2171,3599,3137,907,0,AL,01
60,1,Tax Retir. Plan Amt.,10387111,737200,2483587,4063090,2832875,0,AL,01
61,1,Hlth. 12 mnth. Cvg. Count,235262,98271,76359,43179,13127,1442,AL,01
62,1,Hlth. Shrd. Resp. Pay. Ret.,11187,5832,4523,727,98,0,AL,01
63,1,Hlth. Shrd. Resp. Pay. Amt.,5306500,1858215,2380737,841038,207994,0,AL,01
64,1,Income Tax Ret.,207469,62663,84287,45353,13537,1478,AL,01
65,1,Income Tax Amt.,1934217948,48035603,319957459,528274224,536332479,501492695,AL,01
66,1,Total Tax Ret.,206823,68767,77078,45255,13530,1479,AL,01
67,1,Total Tax Amt.,1964157819,71192719,299576410,519020215,554776070,518118517,AL,01
68,1,Withholding Ret.,252122,111303,81971,43914,12640,1311,AL,01
69,1,Withholding Amt.,1621396130,121894728,388192638,523889377,397312723,185826863,AL,01
70,1,Alt. Min. Ret.,3388,10,70,480,2466,345,AL,01
71,1,Alt. Min. Tax Amt.,15187594,11868,111174,969129,8745678,5242486,AL,01
72,1,Est. Tax Pay. Ret.,15334,1879,4099,4700,3534,913,AL,01
73,1,Est. Tax Pay. Amt.,410910683,4799666,17639205,39776378,113461037,232746625,AL,01
74,1,EITC Ret.,79694,66769,12599,0,0,0,AL,01
75,1,EITC Amt.,235505227,214861453,20275179,0,0,0,AL,01
76,1,Total Payments Ret.,277182,131176,84250,45005,13389,1462,AL,01
77,1,Total Payments Amt.,2451290228,421935642,448012322,571037533,526964691,475035702,AL,01
78,1,Refund Ret.,230517,123947,67591,30110,6486,669,AL,01
79,1,Refund Amt.,-753404867,-358533250,-181690421,-106018124,-53723854,-46101667,AL,01
80,1,Balance Due Ret.,52617,10961,18047,15324,7029,803,AL,01
81,1,Balance Due Amt.,275871990,9302712,33692639,54347382,82196858,95771195,AL,01
82,1,Med./Dent. Exp. Ret.,21786,6901,9457,4188,383,0,AL,01
83,1,Med./Dent. Exp. Amt.,178592467,53586293,71355308,37807605,4818601,0,AL,01
84,1,State and Loc. Tax Ret.,74363,10292,25728,24588,11534,1386,AL,01
85,1,State and Loc. Tax Amt.,308756940,8831764,49337870,93522358,96646934,58369840,AL,01
86,1,Real Estate Tax Ret.,57735,5160,18079,21724,10833,1331,AL,01
87,1,Real Estate Tax Amt.,79491157,5001388,16590476,25717922,22856459,7628996,AL,01
88,1,Taxes Paid Ret.,73843,9961,25617,24567,11531,1386,AL,01
89,1,Taxes Paid Amt.,408741449,16063381,71960854,126351456,123570501,66853930,AL,01
90,1,Interest Paid Ret.,51750,4573,16562,19810,9330,951,AL,01
91,1,Interest Paid Amt.,374427599,29847522,91114823,139975692,92208483,16016069,AL,01
92,1,Total Interest Paid Ret.,53686,4826,17121,20324,9726,1114,AL,01
93,1,Total Interest Paid Amt.,412466121,32726881,101539907,149098549,97933347,23980186,AL,01
94,1,Contribution Ret.,62986,7790,21357,21853,10636,953,AL,01
95,1,Contribution Amt.,392550066,22913582,87474929,121803274,95830589,24517801,AL,01
96,1,Prem. Tax Credit Ret.,12868,9624,2622,77,0,0,AL,01
97,1,Prem. Tax Credit Ret.,43529948,32064071,8472833,154063,0,0,AL,01
98,1,Adv. Prem. Tax Credit Ret.,14152,9796,3296,436,55,0,AL,01
99,1,Adv. Prem. Tax Credit Amt.,47989619,32559538,11248669,1353190,174873,0,AL,01
100,1,F 8888 - Refund Alloc. Ret.,27,0,0,0,0,0,AL,01
101,1,F 8888 - Refund Alloc. Amt.,12200,0,0,0,0,0,AL,01
102,2,Return Count,277823,135255,84656,42669,10620,1020,AL,01
103,2,Form 1040EZ,31661,24431,6412,773,0,0,AL,01
104,2,Form 1040A,67913,41294,21445,4618,0,0,AL,01
105,2,Form 1040,177965,69412,56726,37230,10598,1020,AL,01
106,2,Joint Returns,100337,18734,34775,34972,9588,894,AL,01
107,2,Single Returns,110137,72077,29931,5283,800,92,AL,01
108,2,Paid Preparer Returns,156974,73925,46997,25080,7496,961,AL,01
109,2,Returns with Exemptions,261793,120808,84564,42661,10299,0,AL,01
110,2,Total Exemption Amt.,2237606590,932975900,722007450,451519850,108831440,0,AL,01
111,2,Wages Ret.,231831,111038,72731,37047,9361,863,AL,01
112,2,Wages Amt.,9949761263,1675742199,3226031686,3210746990,1457532946,357749250,AL,01
113,2,Taxable Interest Ret.,69722,15795,22570,21594,7630,951,AL,01
114,2,Taxable Interest Amt.,100330475,10888010,17262541,20503342,19034081,24825343,AL,01
115,2,Tax Exempt Interest Ret.,5846,782,1455,1857,1270,353,AL,01
116,2,Tax Exempt Interest Amt.,57453718,2927132,8127493,10876719,15761045,15648684,AL,01
117,2,Taxable Dividends Ret.,32874,6465,9389,10580,4995,797,AL,01
118,2,Taxable Dividend Amt.,190991673,11554427,25430281,43092087,52527704,50699036,AL,01
119,2,State Refund Ret.,35174,2383,11614,14692,5829,551,AL,01
120,2,State Refund Amt.,34297230,1137876,6922016,12361280,9041225,4466107,AL,01
121,2,Schedule C Prof./Loss Ret.,43240,20461,11188,7457,2509,353,AL,01
122,2,Schedule C Prof./Loss Amt.,355159059,105688556,46639288,73261934,93702786,49448836,AL,01
123,2,Capital Gain/Loss Ret.,28678,5519,7657,9054,4689,829,AL,01
124,2,Capital Gain/Loss Amt.,448636376,6691659,23876176,60140755,100098151,245449992,AL,01
125,2,Taxable IRA Dist. Ret.,21863,6059,7214,6085,1998,184,AL,01
126,2,Taxable IRA Dist. Amt.,315234052,38109341,76031751,113004182,74740797,8895704,AL,01
127,2,Taxable Pension Ret.,59549,17829,20668,15997,4291,196,AL,01
128,2,Taxable Pension Amt.,1500499935,198994979,480445551,572907039,230394200,9896639,AL,01
129,2,Farm Prof./Loss Ret.,8167,1745,2363,2364,897,153,AL,01
130,2,Farm Prof./Loss Amt.,-92542469,-11109884,-16662890,-17898319,-10032564,-16426475,AL,01
131,2,Unemployment Comp. Ret.,7111,4016,2078,866,127,0,AL,01
132,2,Unemployment Comp. Amt.,20843344,10571247,6403075,3232436,551016,0,AL,01
133,2,Tax. Soc. Sec. Ret.,40002,7863,17982,11127,2780,236,AL,01
134,2,Tax. Soc. Sec. Amt.,528305516,19227024,197204708,234890753,70482129,6353903,AL,01
135,2,Student Interest Ded. Ret.,17434,3749,8017,5336,228,0,AL,01
136,2,Student Interest Ded. Amt.,18677964,3401887,8896954,6228998,47155,0,AL,01
137,2,S.E. Health Ded. Ret.,5625,1493,1365,1153,1046,324,AL,01
138,2,S.E. Health Ded. Amt.,36440431,5443589,7332221,7943586,10643483,3890555,AL,01
139,2,Keogh Pay. Ret.,675,11,76,148,325,97,AL,01
140,2,Keogh Pay. Amt.,14892263,39019,647550,1860063,8543266,3715270,AL,01
141,2,Alimony Paid Ret.,782,369,320,79,0,0,AL,01
142,2,Alimony Paid Amt.,9863041,3256933,4557919,1665681,0,0,AL,01
143,2,Adjustments Ret.,61068,22389,19359,13931,3910,675,AL,01
144,2,Adjustments Amt.,175811513,30093557,40155901,40769120,37561534,23916685,AL,01
145,2,Total Itemized Ded. Ret.,61575,7831,21768,21583,8816,971,AL,01
146,2,Total Itemized Ded. Amt.,1339411590,126694319,352481161,443874946,275048721,125206720,AL,01
147,2,Child Tax Credit Ret.,45820,8863,23627,13142,158,0,AL,01
148,2,Child Tax Credit Amt.,52663658,3691204,28518542,20304766,140400,0,AL,01
149,2,Child Care Cred. Ret.,13600,2515,5970,4309,767,29,AL,01
150,2,Child Care Cred. Amt.,7582286,1066271,3494482,2556459,440048,18472,AL,01
151,2,Ed Credit Ret.,19204,5646,7997,4938,576,0,AL,01
152,2,Ed. Credit Amt.,20416665,3484809,9560711,6695745,661872,0,AL,01
153,2,For. Tax Credit Ret.,7501,488,1901,2700,1935,477,AL,01
154,2,For. Tax Credit Amt.,7265139,19318,102600,639340,4853150,1650731,AL,01
155,2,Gen. Bus. Cred. Ret.,349,0,39,79,132,89,AL,01
156,2,Gen. Bus. Cred. Amt.,1997254,0,56569,240101,691934,1001401,AL,01
157,2,Total Stat. Credit Ret.,84146,23819,36682,19423,3644,565,AL,01
158,2,Total Stat. Credit Amt.,96561961,10014619,44650252,31702792,7286424,2901286,AL,01
159,2,S.E. Tax  Ret.,31933,16212,7150,5425,2245,455,AL,01
160,2,S.E. Tax  Amt.,75655880,22296393,15860305,17131640,14327851,5102247,AL,01
161,2,Add. Tax Retir. Plan,9474,2444,3603,2645,706,0,AL,01
162,2,Tax Retir. Plan Amt.,9456563,777176,2579956,3524805,2397414,0,AL,01
163,2,Hlth. 12 mnth. Cvg. Count,229244,96912,77126,41078,10359,997,AL,01
164,2,Hlth. Shrd. Resp. Pay. Ret.,9090,5332,3312,376,64,0,AL,01
165,2,Hlth. Shrd. Resp. Pay. Amt.,3828438,1615696,1626102,410019,150313,0,AL,01
166,2,Income Tax Ret.,199069,61637,83145,42542,10606,1019,AL,01
167,2,Income Tax Amt.,1591969715,47896173,312021176,493596405,400419900,337901403,AL,01
168,2,Total Tax Ret.,193104,63172,75253,42437,10602,1019,AL,01
169,2,Total Tax Amt.,1602361950,63102295,288347482,483629147,413728349,352312337,AL,01
170,2,Withholding Ret.,247869,112525,81715,41656,10060,875,AL,01
171,2,Withholding Amt.,1447075753,129801528,394034818,499670645,306734876,113859641,AL,01
172,2,Alt. Min. Ret.,1846,0,36,191,1389,207,AL,01
173,2,Alt. Min. Tax Amt.,9145950,0,51119,403796,4975046,3528916,AL,01
174,2,Est. Tax Pay. Ret.,12536,1627,3543,4008,2585,607,AL,01
175,2,Est. Tax Pay. Amt.,296423291,3581139,14235367,32774790,76600496,166585883,AL,01
176,2,EITC Ret.,77130,63469,13327,0,0,0,AL,01
177,2,EITC Amt.,219052709,197399729,21301304,0,0,0,AL,01
178,2,Total Payments Ret.,266410,127297,83442,42326,10510,1005,AL,01
179,2,Total Payments Amt.,2959048919,1242867644,452109250,538758066,392833809,325545391,AL,01
180,2,Refund Ret.,225731,121197,68538,28788,5062,469,AL,01
181,2,Refund Amt.,-710256798,-344733793,-190545666,-99547803,-38462706,-30748361,AL,01
182,2,Balance Due Ret.,45184,8995,15897,13812,5535,548,AL,01
183,2,Balance Due Amt.,198426094,7503795,27702593,44750523,59837778,58022801,AL,01
184,2,Med./Dent. Exp. Ret.,16636,5316,7319,3133,240,0,AL,01
185,2,Med./Dent. Exp. Amt.,150494230,55946073,57089897,27134573,2795455,0,AL,01
186,2,State and Loc. Tax Ret.,61598,7842,21771,21585,8816,971,AL,01
187,2,State and Loc. Tax Amt.,241745768,7292723,41746009,79922886,69381740,41245476,AL,01
188,2,Real Estate Tax Ret.,48715,4060,15800,19249,8283,907,AL,01
189,2,Real Estate Tax Amt.,49952413,2904250,10775117,17294458,13333921,4712413,AL,01
190,2,Taxes Paid Ret.,61175,7632,21660,21550,8814,971,AL,01
191,2,Taxes Paid Amt.,305381075,11701842,56713306,102161301,85289560,46320223,AL,01
192,2,Interest Paid Ret.,44297,3685,14753,17842,7068,609,AL,01
193,2,Interest Paid Amt.,309830269,19193835,83377885,127638514,66539739,9997561,AL,01
194,2,Total Interest Paid Ret.,45706,3912,15192,18201,7304,724,AL,01
195,2,Total Interest Paid Amt.,336773119,21111004,91732108,134400107,70520344,14707396,AL,01
196,2,Contribution Ret.,52389,5905,18012,19330,8197,649,AL,01
197,2,Contribution Amt.,360244938,18368353,81264215,125848612,88133527,21189815,AL,01
198,2,Prem. Tax Credit Ret.,10092,7469,2127,37,0,0,AL,01
199,2,Prem. Tax Credit Ret.,33558317,24398086,6626509,82336,0,0,AL,01
200,2,Adv. Prem. Tax Credit Ret.,10950,7572,2613,249,29,0,AL,01
201,2,Adv. Prem. Tax Credit Amt.,36417091,24343865,8535398,750976,92279,0,AL,01
202,2,F 8888 - Refund Alloc. Ret.,44,0,0,0,0,0,AL,01
203,2,F 8888 - Refund Alloc. Amt.,26250,0,0,0,0,0,AL,01
204,3,Return Count,281044,134929,89492,42096,10396,909,AL,01
205,3,Form 1040EZ,30967,24112,6137,677,0,0,AL,01
206,3,Form 1040A,61977,37271,20487,3672,0,0,AL,01
207,3,Form 1040,187295,72986,62791,37703,10380,901,AL,01
208,3,Joint Returns,105604,20648,38417,35059,9441,803,AL,01
209,3,Single Returns,110611,73815,29587,4677,693,79,AL,01
210,3,Paid Preparer Returns,172131,79701,55400,26707,7293,827,AL,01
211,3,Returns with Exemptions,263552,118947,89396,42091,10045,0,AL,01
212,3,Total Exemption Amt.,2267623920,900296000,785760000,453232000,108375920,0,AL,01
213,3,Wages Ret.,236971,110763,78484,37099,9171,789,AL,01
214,3,Wages Amt.,10205492889,1669928472,3510685023,3233153498,1455143821,315414880,AL,01
215,3,Taxable Interest Ret.,65356,15385,21270,19616,7316,850,AL,01
216,3,Taxable Interest Amt.,87486266,10197482,15002251,19104790,18378054,18140544,AL,01
217,3,Tax Exempt Interest Ret.,5058,694,1215,1615,1165,265,AL,01
218,3,Tax Exempt Interest Amt.,39010793,2299967,6262156,9812078,12280545,7385478,AL,01
219,3,Taxable Dividends Ret.,32906,6704,9337,10562,5010,696,AL,01
220,3,Taxable Dividend Amt.,174477279,11480298,24545182,41953206,52062354,40227066,AL,01
221,3,State Refund Ret.,43225,3107,15662,17640,6228,487,AL,01
222,3,State Refund Amt.,42199174,1623707,10445015,16124279,10056697,3825430,AL,01
223,3,Schedule C Prof./Loss Ret.,44572,21202,11872,7353,2672,296,AL,01
224,3,Schedule C Prof./Loss Amt.,338741822,96255464,52489732,72785908,109000368,43511804,AL,01
225,3,Capital Gain/Loss Ret.,26660,5240,6984,8270,4654,731,AL,01
226,3,Capital Gain/Loss Amt.,363163770,5026882,20930157,49282934,98189531,177207525,AL,01
227,3,Taxable IRA Dist. Ret.,21002,5959,6918,5834,1894,158,AL,01
228,3,Taxable IRA Dist. Amt.,312143130,38328302,75456394,112825026,74894144,7660110,AL,01
229,3,Taxable Pension Ret.,58200,18709,21006,14232,3633,191,AL,01
230,3,Taxable Pension Amt.,1372357723,203978589,452273766,493394872,206500026,11259615,AL,01
231,3,Farm Prof./Loss Ret.,5415,1174,1713,1568,536,103,AL,01
232,3,Farm Prof./Loss Amt.,-59820044,-9254382,-13999569,-13556267,-8005308,-2756424,AL,01
233,3,Unemployment Comp. Ret.,7715,4126,2448,1011,113,0,AL,01
234,3,Unemployment Comp. Amt.,20249450,10911658,6048840,2877449,372285,0,AL,01
235,3,Tax. Soc. Sec. Ret.,38838,7948,17739,10392,2547,197,AL,01
236,3,Tax. Soc. Sec. Amt.,498642094,19016481,189827824,218502712,65563028,5625056,AL,01
237,3,Student Interest Ded. Ret.,17516,3787,7896,5511,219,0,AL,01
238,3,Student Interest Ded. Amt.,18652083,3484320,8585769,6418595,50173,0,AL,01
239,3,S.E. Health Ded. Ret.,4879,1286,1200,966,974,277,AL,01
240,3,S.E. Health Ded. Amt.,32453758,4861348,6570401,6867913,9854605,3344145,AL,01
241,3,Keogh Pay. Ret.,700,11,70,159,353,88,AL,01
242,3,Keogh Pay. Amt.,14495191,41172,511263,1968766,8402279,3480318,AL,01
243,3,Alimony Paid Ret.,669,310,268,71,13,0,AL,01
244,3,Alimony Paid Amt.,10211567,2638679,4140295,2553278,622497,0,AL,01
245,3,Adjustments Ret.,60133,21977,19098,13875,3944,586,AL,01
246,3,Adjustments Amt.,162442865,27355798,38062527,37444113,35892492,21060198,AL,01
247,3,Total Itemized Ded. Ret.,70918,9520,26536,24242,9114,853,AL,01
248,3,Total Itemized Ded. Amt.,1554256749,135147351,441004417,551072517,306156668,105012046,AL,01
249,3,Child Tax Credit Ret.,48323,8447,26025,13673,142,0,AL,01
250,3,Child Tax Credit Amt.,56032364,3622680,31361416,20918694,114900,0,AL,01
251,3,Child Care Cred. Ret.,14896,2715,6562,4702,887,24,AL,01
252,3,Child Care Cred. Amt.,8332952,1193965,3860865,2754572,508107,12414,AL,01
253,3,Ed Credit Ret.,21351,6993,8814,4945,542,0,AL,01
254,3,Ed. Credit Amt.,21963524,4139535,10433259,6728741,647193,0,AL,01
255,3,For. Tax Credit Ret.,6889,379,1684,2585,1779,380,AL,01
256,3,For. Tax Credit Amt.,3728098,21372,130694,522757,890946,2159471,AL,01
257,3,Gen. Bus. Cred. Ret.,333,0,39,60,146,81,AL,01
258,3,Gen. Bus. Cred. Amt.,2290804,0,50901,109039,735670,1391652,AL,01
259,3,Total Stat. Credit Ret.,90252,24997,41050,20139,3563,476,AL,01
260,3,Total Stat. Credit Amt.,100489526,10833272,49784599,32417133,3372347,4073733,AL,01
261,3,S.E. Tax  Ret.,31264,15785,7143,5232,2422,337,AL,01
262,3,S.E. Tax  Amt.,75902892,21955761,16547577,16554141,15867320,4171004,AL,01
263,3,Add. Tax Retir. Plan,10216,2460,4159,2845,688,0,AL,01
264,3,Tax Retir. Plan Amt.,9647380,781220,2784246,3694996,2182535,0,AL,01
265,3,Hlth. 12 mnth. Cvg. Count,230923,95366,81554,40553,10134,884,AL,01
266,3,Hlth. Shrd. Resp. Pay. Ret.,10094,5773,3842,419,53,0,AL,01
267,3,Hlth. Shrd. Resp. Pay. Amt.,4231771,1722217,1915567,463946,112238,0,AL,01
268,3,Income Tax Ret.,205058,63688,87946,41983,10383,909,AL,01
269,3,Income Tax Amt.,1499923392,48724080,321545923,471413396,391943350,266192693,AL,01
270,3,Total Tax Ret.,196285,63905,78702,41845,10388,908,AL,01
271,3,Total Tax Amt.,1502130440,62671690,293684662,460291165,410315844,274163969,AL,01
272,3,Withholding Ret.,253269,113903,86656,41085,9884,803,AL,01
273,3,Withholding Amt.,1440175438,133438993,418983286,484000548,302392611,98260868,AL,01
274,3,Alt. Min. Ret.,2173,0,51,240,1630,228,AL,01
275,3,Alt. Min. Tax Amt.,9012405,0,63424,462600,5712933,2679098,AL,01
276,3,Est. Tax Pay. Ret.,11671,1502,3174,3692,2595,568,AL,01
277,3,Est. Tax Pay. Amt.,246115773,3263928,13204888,30326883,76549678,121560005,AL,01
278,3,EITC Ret.,75202,60372,14564,0,0,0,AL,01
279,3,EITC Amt.,203708551,179804327,23658011,0,0,0,AL,01
280,3,Total Payments Ret.,269997,127044,88327,41773,10300,891,AL,01
281,3,Total Payments Amt.,2031863210,382614958,480843945,520854920,390047932,252011988,AL,01
282,3,Refund Ret.,230878,120686,74060,29203,4997,405,AL,01
283,3,Refund Amt.,-711201352,-326540910,-212907948,-102164803,-36971819,-27739481,AL,01
284,3,Balance Due Ret.,43695,9404,15233,12831,5382,498,AL,01
285,3,Balance Due Amt.,184463651,7574342,26314693,42270005,57674255,50234479,AL,01
286,3,Med./Dent. Exp. Ret.,19274,6046,8779,3619,350,0,AL,01
287,3,Med./Dent. Exp. Amt.,148161388,47345226,61548196,29040198,5190382,0,AL,01
288,3,State and Loc. Tax Ret.,70933,9528,26540,24242,9114,853,AL,01
289,3,State and Loc. Tax Amt.,276953487,9375141,55434302,99446885,78135225,33304924,AL,01
290,3,Real Estate Tax Ret.,55954,4741,19270,22084,8640,797,AL,01
291,3,Real Estate Tax Amt.,69267004,6971857,15807376,23981906,17179658,4137438,AL,01
292,3,Taxes Paid Ret.,70465,9259,26410,24223,9111,853,AL,01
293,3,Taxes Paid Amt.,366064964,18037958,77936994,130799056,98740686,37882708,AL,01
294,3,Interest Paid Ret.,51308,4352,18022,20545,7482,547,AL,01
295,3,Interest Paid Amt.,363727614,23126675,103852729,148197991,75782050,9028412,AL,01
296,3,Total Interest Paid Ret.,52661,4519,18520,20896,7707,630,AL,01
297,3,Total Interest Paid Amt.,392504145,25268219,113976551,155608633,79980498,12385129,AL,01
298,3,Contribution Ret.,61554,7248,22814,22089,8582,593,AL,01
299,3,Contribution Amt.,404568878,23133203,99659285,134716426,94328825,19186959,AL,01
300,3,Prem. Tax Credit Ret.,10335,7585,2210,47,0,0,AL,01
301,3,Prem. Tax Credit Ret.,36677763,26434432,7556171,99938,0,0,AL,01
302,3,Adv. Prem. Tax Credit Ret.,11212,7687,2708,266,27,0,AL,01
303,3,Adv. Prem. Tax Credit Amt.,39307078,26267420,9617900,816302,97369,0,AL,01
304,3,F 8888 - Refund Alloc. Ret.,32,0,0,0,0,0,AL,01
305,3,F 8888 - Refund Alloc. Amt.,13800,0,0,0,0,0,AL,01
306,4,Return Count,268483,130528,84818,39762,8783,999,AL,01
307,4,Form 1040EZ,30788,24081,6014,658,0,0,AL,01
308,4,Form 1040A,58735,35527,19223,3507,0,0,AL,01
309,4,Form 1040,178824,70857,59552,35588,8768,997,AL,01
310,4,Joint Returns,120273,29296,46149,34391,7887,867,AL,01
311,4,Single Returns,99957,68783,24986,3712,679,101,AL,01
312,4,Paid Preparer Returns,187608,87386,60538,28969,6908,970,AL,01
313,4,Returns with Exemptions,251514,115141,84705,39758,8439,0,AL,01
314,4,Total Exemption Amt.,2252649530,911844000,788895900,437936000,90489680,0,AL,01
315,4,Wages Ret.,221262,103189,73559,35283,7669,875,AL,01
316,4,Wages Amt.,9466993550,1531448002,3260943069,3096142771,1224832569,332743429,AL,01
317,4,Taxable Interest Ret.,69838,18981,23308,19117,6311,911,AL,01
318,4,Taxable Interest Amt.,103764145,13916856,19575577,20290849,19824960,19581170,AL,01
319,4,Tax Exempt Interest Ret.,5250,861,1328,1585,1047,322,AL,01
320,4,Tax Exempt Interest Amt.,57119037,4322955,7023653,12834180,13431444,15238088,AL,01
321,4,Taxable Dividends Ret.,29417,6679,8628,8744,4069,734,AL,01
322,4,Taxable Dividend Amt.,158951616,11110865,21994781,34071317,41060443,36159701,AL,01
323,4,State Refund Ret.,34853,2355,11680,15163,5006,540,AL,01
324,4,State Refund Amt.,34251108,1190239,7172273,12839226,7995134,4406145,AL,01
325,4,Schedule C Prof./Loss Ret.,45260,21549,12342,7367,2251,343,AL,01
326,4,Schedule C Prof./Loss Amt.,404307445,145429409,77966052,68238319,97990291,42362751,AL,01
327,4,Capital Gain/Loss Ret.,25062,5498,6942,7255,3761,767,AL,01
328,4,Capital Gain/Loss Amt.,313193432,7335559,19926000,47771354,83680372,133274022,AL,01
329,4,Taxable IRA Dist. Ret.,22680,7330,7769,5508,1607,143,AL,01
330,4,Taxable IRA Dist. Amt.,320607263,46814174,87812714,111721519,64061056,7150608,AL,01
331,4,Taxable Pension Ret.,55993,19745,20285,12351,2849,207,AL,01
332,4,Taxable Pension Amt.,1208448597,214353658,425471798,400651365,147405567,13402409,AL,01
333,4,Farm Prof./Loss Ret.,12142,3077,4261,3126,857,128,AL,01
334,4,Farm Prof./Loss Amt.,-103911283,-16263529,-31685297,-24758757,-11202085,-7085013,AL,01
335,4,Unemployment Comp. Ret.,9128,4459,3251,1287,108,0,AL,01
336,4,Unemployment Comp. Amt.,25153241,11864399,8736354,4106616,363604,0,AL,01
